airport	lat	lon	color	pop
trap1	29.89916667	-81.30333333	black	
trap2	29.89888889	-81.3025	black	
trap3	29.89972222	-81.3025	black	
trap4	29.9	-81.30083333	black	
trap5	29.9	-81.29972222	black	
trap6	29.89944444	-81.29888889	black	
trap7	29.89833333	-81.29916667	black	
trap8	29.89944444	-81.30027778	black	
trap9	29.89888889	-81.30111111	black	
trap10	29.8975	-81.30138889	black	
trap11	29.89777778	-81.29944444	black	
release1	29.898889	-81.300278	red	148.232825
release2	29.899722	-81.301944	blue	162.0395945
release3	29.899837	-81.299867	green	171.3665701
release4	29.898728	-81.301494	yellow	131.8745583
